,Character,Dialog
0,Tony Stark,"I feel like you're driving me to a court-martial. This is crazy. What did I do? I feel like you're going to pull over and snuff me. What, you're not allowed to talk? Hey, Forrest!"
1,Soldier,"We can talk, sir."
2,Tony Stark,"Oh, I see. So it's personal?"
3,Soldier,"No, you intimidate them."
4,Tony Stark,"Good God, you're a woman. I honestly... I couldn't have called that. I mean, I'd apologize, but isn't that what we're going for here? I thought of you as a soldier first."
5,Soldier,I'm an airman.
6,Tony Stark,"Well you have, actually, excellent bone structure, there. I'm kind of having a hard time not looking at you now. Is that weird?  Come on, it's okay, laugh."
7,Soldier,"Sir, I have a question to ask."
8,Tony Stark,"Yes, please."
9,Soldier,Is it true you went 12 for 12 with last year's Maxim cover models?
10,Tony Stark,"That is an excellent question. Yes and no. March and I had a scheduling conflict, but fortunately, the Christmas cover was twins. Anything else?  You're kidding me with the hand up, right?"
11,Soldier,Is it cool if I take a picture with you?
12,Tony Stark,"Yes. It's very cool.  Please, no gang signs. No, throw it up. I'm kidding. Yeah, peace. I love peace. I'd be out of a job with peace."
13,Soldier,Come on. Hurry up. Just click it. Don't change any settings. Just click it.
14,Tony Stark,What's going on?
15,Soldier,Contact left!
16,Tony Stark,What have we got?
17,Soldier,"Jimmy, stay with Stark!"
18,Soldier,Stay down!
19,Tony Stark,Yeah.
20,Soldier,Son of a bitch!
21,Tony Stark,"Wait, wait, wait, wait, wait! Give me a gun!"
22,Soldier,Stay here!
23,"[Jimmy turned back around and he was gunned down too, holes piercing the vehicle. Tony's hearing and senses were dulled a bit as he got himself out of the vehicle, stumbling a bit in the chaos. He got some of his hearing back and ran and dove behind a rock for cover. He pulled out his phone to contact and call for help when a bomb landed next to him. He looked over to see it say","Stark Industries. He tried to get up and get away, but didn't in time. The bomb exploded and made him fly through the air a bit.]"
24,Tony Stark,Whoa!
25,Voice over,"Tony Stark. Visionary. Genius. American patriot. Even from an early age, the son of legendary weapons developer Howard Stark quickly stole the spotlight with his brilliant and unique mind. At age four, he built his first circuit board. At age six, his first engine. And at 17, he graduated summa cum laude from MIT. Then, the passing of a titan. Howard Stark's lifelong friend and ally, Obadiah Stane, steps in to help fill the gap left by the legendary founder, until, at age 21, the prodigal son returns and is anointed the new CEO of Stark Industries. With the keys to the kingdom, Tony ushers in a new era for his father's legacy, creating smarter weapons, advanced robotics, satellite targeting. Today, Tony Stark has changed the face of the weapons industry by ensuring freedom and protecting America and her interests around the globe."
26,James Rhodes,"As liaison to Stark Industries, I've had the unique privilege of serving with a real patriot. He is my friend and he is my great mentor. Ladies and gentlemen, it is my honor to present this year's Apogee Award to Mr. Tony Stark. Tony?"
27,Obadiah Stane,"Thank you, Colonel."
28,James Rhodes,Thanks for the save.
29,Obadiah Stane,"This is beautiful. Thank you. Thank you all very much. This is wonderful. Well, I'm not Tony Stark. But if I were Tony, I would tell you how honored I feel and what a joy it is to receive this very prestigious award. Tony, you know...The best thing about Tony is also the worst thing. He's always working."
30,Tony Stark,Work it! Come on! We should just stay till the morning.
31,James Rhodes,You are unbelievable.
32,Tony Stark,"Oh, no! Did they rope you into this?"
33,James Rhodes,Nobody roped me into anything!
34,Tony Stark,I'm so sorry.
35,James Rhodes,"But they told me that if I presented you with an award, you'd be deeply honored."
36,Tony Stark,"Of course I'd be deeply honored. And it's you, that's great. So, when do we do it?"
37,James Rhodes,It's right here. Here you go.
38,Tony Stark,There it is. That was easy. I'm so sorry.
39,James Rhodes,"Yeah, it's okay."
40,Tony Stark,"Wow! Would you look at that? That's something else. I don't have any of those floating around. Uh, we're gonna let it ride! Give me a hand, will you? Give me a little something-something."
41,James Rhodes,I don't blow on a man's dice.
42,Tony Stark,"Come on, honey bear."
43,James Rhodes,I don't blow on a man's dice.
44,Tony Stark,There it is. Lieutenant Colonel Rhodes rolls! And...
45,Dealer,Two craps. Line away.
46,James Rhodes,That's what happens.
47,Tony Stark,"Worse things have happened. I think we're gonna be fine. Color me up, will ya?"
48,James Rhodes,This is where I exit.
49,Tony Stark,All right.
50,James Rhodes,"Tomorrow, don't be late."
51,Tony Stark,"Yeah, you can count on it."
52,James Rhodes,I'm serious!
53,Tony Stark,"I know, I know.  Render unto Caesar, that which is Caesar's. There you go."
54,Christine Everhart,"Mr. Stark! Excuse me, Mr. Stark! Christine Everhart, Vanity Fair magazine. Can I ask you a couple of questions?"
55,Happy Hogan,She's cute.
56,Tony Stark,She's all right?  Hi.
57,Christine Everhart,Hi.
58,Tony Stark,Yeah. Okay--
59,Christine Everhart,It's okay?
60,Tony Stark,Go.
61,Christine Everhart,You've been called the da Vinci of our time. What do you say to that?
62,Tony Stark,Absolutely ridiculous. I don't paint.
63,Christine Everhart,"And what do you say to your other nickname? ""The Merchant of Death""?"
64,Tony Stark,That's not bad. Let me guess. Berkeley?
65,Christine Everhart,"Brown, actually."
66,Tony Stark,"Well, Ms. Brown. It's an imperfect world, but it's the only one we've got. I guarantee you, the day weapons are no longer needed to keep the peace, I'll start making bricks and beams for baby hospitals."
67,Christine Everhart,You rehearse that much?
68,Tony Stark,Every night in front of the mirror before bedtime.
69,Christine Everhart,I can see that.
70,Tony Stark,I'd like to show you first-hand.
71,Christine Everhart,All I want is a serious answer.
72,Tony Stark,"Okay, here's serious. My old man had a philosophy, ""Peace means having a bigger stick than the other guy."""
73,Christine Everhart,That's a great line coming from the guy selling the sticks.
74,Tony Stark,"My father helped defeat the Nazis. He worked on the Manhattan Project. A lot of people, including your professors at Brown, would call that being a hero."
75,Christine Everhart,And a lot of people would also call that war profiteering.
76,Tony Stark,"Tell me, do you plan to report on the millions we've saved by advancing medical technology or kept from starvation with our intelli-crops? All those breakthroughs, military funding, honey."
77,Christine Everhart,You ever lose an hour of sleep your whole life?
78,Tony Stark,I'd be prepared to lose a few with you.
79,JARVIS,Good morning. It's 7:00 a.m. The weather in Malibu is 72 degrees with scattered clouds. The surf conditions are fair with waist-to-shoulder high lines. High tide will be at 10:52 a.m.
80,Christine Everhart,
81,JARVIS,You are not authorized to access this area.
82,Christine Everhart,Jesus.
83,Pepper Potts,"That's JARVIS. He runs the house. I've got your clothes here. They've been dry-cleaned and pressed, and there's a car waiting for you outside that will take you anywhere you'd like to go."
84,Christine Everhart,You must be the famous Pepper Potts.
85,Pepper Potts,Indeed I am.
86,Christine Everhart,"After all these years, Tony still has you picking up the dry-cleaning."
87,Pepper Potts,"I do anything and everything that Mr. Stark requires, including, occasionally, taking out the trash. Will that be all?"
88,Tony Stark,Give me an exploded view.
89,JARVIS,The compression in cylinder three appears to be low.
90,Tony Stark,Log that.
91,Pepper Potts,"I'm gonna try again, right now."
92,Tony Stark,Please don't turn down my music.
93,Pepper Potts,I'll keep you posted.  You are supposed to be halfway around the world right now.
94,Tony Stark,How'd she take it?
95,Pepper Potts,Like a champ.
96,Tony Stark,Why are you trying to hustle me out of here?
97,Pepper Potts,Your flight was scheduled to leave an hour and a half ago.
98,Tony Stark,"That's funny, I thought with it being my plane and all, that it would just wait for me to get there."
99,Pepper Potts,"Tony, I need to speak to you about a couple things before I get you out of the door."
100,Tony Stark,"I mean, doesn't it kind of defeat the whole purpose of having your own plane if it departs before you arrive?"
101,Pepper Potts,Larry called. He's got another buyer for the Jackson Pollock in the wings. Do you want it? Yes or no.
102,Tony Stark,Is it a good representation of his spring period?
103,Pepper Potts,"Um, no. The Springs was actually the neighborhood in East Hampton where he lived and worked--"
104,Tony Stark,So?
105,Pepper Potts,"--not ""spring"" like the season. I think it's a fair example. Um.. I think it's incredibly overpriced."
106,Tony Stark,I need it. Buy it. Store it.
107,Pepper Potts,Okay. The MIT commencement speech...
108,Tony Stark,"Is in June. Please, don't harangue me about stuff that's way, way, down..."
109,Pepper Potts,"Well, they're haranguing me, so I'm gonna say yes."
110,Tony Stark,Deflect it and absorb it. Don't transmit it back to me.
111,Pepper Potts,I need you to sign this before you get on the plane.
112,Tony Stark,"What are you trying to get rid of me for? What, you got plans?"
113,Pepper Potts,"As a matter of fact, I do."
114,Tony Stark,I don't like it when you have plans.
115,Pepper Potts,I'm allowed to have plans on my birthday.
116,Tony Stark,It's your birthday?
117,Pepper Potts,Yes.
118,Tony Stark,I knew that. Already?
119,Pepper Potts,Yeah. Isn't that strange? It's the same day as last year.
120,Tony Stark,"Well, get yourself something nice from me."
121,Pepper Potts,I already did.
122,Tony Stark,And?
123,Pepper Potts,"Oh, it was very nice."
124,Tony Stark,Yeah.
125,Pepper Potts,"Very tasteful. Thank you, Mr. Stark."
126,Tony Stark,"You're welcome, Miss Potts... Okay."
127,Tony Stark,You're good. I thought I lost you back there.
128,Happy,"You did, sir.  I had to cut across Mulholland."
129,Tony Stark,I got you. I got you.
130,James Rhodes,What's wrong with you?
131,Tony Stark,What?
132,James Rhodes,Three hours.
133,Tony Stark,I got caught doing a piece for Vanity Fair.
134,James Rhodes,For three hours. For three hours you got me standing here.
135,Tony Stark,Waiting on you now. Let's go. Come on. Wheels up! Rock and roll!
136,Tony Stark,"What you reading, platypus?"
137,James Rhodes,Nothing.
138,Tony Stark,"Come on, sour patch."
139,James Rhodes,I'm not sour.
140,Tony Stark,Don't be mad.
141,James Rhodes,"I told you, I'm not mad. I'm indifferent, okay?"
142,Tony Stark,I said I was sorry.
143,Flight Attendant #1,"Good morning, Mr. Stark."
144,James Rhodes,You don't need to apologize to me.
145,Tony Stark,I told you I was sorry.
146,James Rhodes,I'm your man.
147,Tony Stark,"Hi. I told him I was sorry, but he..."
148,James Rhodes,I'm just indifferent right now.
149,Flight Attendant #1,Hot towel?
150,James Rhodes,"You don't respect yourself, so I know you don't respect me."
151,Tony Stark,I respect you.
152,James Rhodes,"I'm just your babysitter. So, when you need your diaper changed...  Thank you. Let me know and I'll get you a bottle, okay?"
153,Tony Stark,"Hey! Heat up the sake, will you? Thanks for reminding me."
154,James Rhodes,"No, I'm not talking... We're not drinking. We're working right now."
155,Tony Stark,You can't have sashimi without sake.
156,James Rhodes,You are constitutionally incapable of being responsible.
157,Tony Stark,It would be irresponsible not to drink. I'm just talking about a nightcap.
158,Flight Attendant #2,Hot sake?
159,Tony Stark,"Yes, two, please."
160,James Rhodes,No. Just-- I'm not drinking. I don't want any.
161,James Rhodes,"That's what I'm talking about. When I get up in the morning and I'm putting on my uniform, you know what I recognize? I see in that mirror that every person that's got this uniform on got my back!"
162,Tony Stark,"Hey, you know what? I'm not like you. I'm not cut out..."
163,James Rhodes,"No, no. You don't have to be like me! But you're more than what you are."
164,Tony Stark,Can you excuse me if I'm a bit distracted here?
165,James Rhodes,No! You can't be distracted right now! Listen to me!
166,Tony Stark,General.
167,General,"Welcome, Mr. Stark. We look forward to your weapons presentation."
168,Tony Stark,Thanks.
169,Tony Stark,"Is it better to be feared or respected? I say, is it too much to ask for both? With that in mind, I humbly present the crown jewel of Stark Industries' Freedom Line. It's the first missile system to incorporate our proprietary repulsor technology. They say the best weapon is one you never have to fire. I respectfully disagree. I prefer the weapon you only have to fire once. That's how Dad did it. That's how America does it. And it's worked out pretty well so far. Find an excuse to let one of these off the chain, and I personally guarantee you the bad guys won't even want to come out of their caves."
170,Tony Stark,
171,Obadiah Stane,Tony.
172,Tony Stark,"Obie, what are you doing up?"
173,Obadiah Stane,I couldn't sleep till I found out how it went. How'd it go?
174,Tony Stark,It went great. Looks like it's gonna be an early Christmas.
175,Obadiah Stane,"Hey! Way to go, my boy! I'll see you tomorrow, yeah?"
176,Tony Stark,Why aren't you wearing those pajamas I got you?
177,Obadiah Stane,"Good night, Tony."
178,James Rhodes,"Hey, Tony."
179,Tony Stark,"I'm sorry, this is the ""fun-vee."" The ""hum-drum-vee"" is back there."
180,James Rhodes,Nice job.
181,Tony Stark,See you back at base.
182,Yinsen,I wouldn't do that if I were you.
183,Tony Stark,What the hell did you do to me?
184,Yinsen,"What I did? What I did is to save your life. I removed all the shrapnel I could, but there's a lot left, and it's headed into your atrial septum. Here, want to see?  I've seen many wounds like that in my village. We call them the walking dead because it takes about a week for the barbs to reach the vital organs."
185,Tony Stark,What is this?
186,Yinsen,"That is an electromagnet, hooked up to a car battery, and it's keeping the shrapnel from entering your heart. Hmm?  That's right. Smile. We met once, you know, at a technical conference in Bern."
187,Tony Stark,I don't remember.
188,Yinsen,"No, you wouldn't. If I had been that drunk, I wouldn't have been able to stand, much less give a lecture on integrated circuits."
189,Tony Stark,Where are we?
190,Yinsen,"Come on, stand up. Stand up! Just do as I do. Come on, put your hands up."
191,Tony Stark,Those are my guns. How did they get my guns?
192,Yinsen,Do you understand me? Do as I do.  This one.
193,Tony Stark,I refuse.
194,Pepper Potts,Tony!
195,Yinsen,He wants to know what you think.
196,Tony Stark,I think you got a lot of my weapons.
197,Yinsen,"He says they have everything you need to build the Jericho missile. He wants you to make the list of materials.  He says for you to start working immediately, and when you're done, he will set you free."
198,Tony Stark,"No, he won't."
199,Yinsen,"No, he won't."
200,Yinsen,"I'm sure they're looking for you, Stark. But they will never find you in these mountains. Look, what you just saw, that is your legacy, Stark. Your life's work, in the hands of those murderers. Is that how you want to go out? Is this the last act of defiance of the great Tony Stark? Or are you going to do something about it?"
201,Tony Stark,"Why should I do anything? They're going to kill me, you, either way. And if they don't, I'll probably be dead in a week."
202,Yinsen,"Well, then, this is a very important week for you, isn't it? Hm?"
203,Tony Stark,How many languages do you speak?
