,Character,Dialog
0,Tony Stark,Shit!
1,Steve Rogers,"Language! JARVIS, what's the view from upstairs?"
2,JARVIS,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other Hydra base we've taken.
3,Thor,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.
4,Natasha Romanoff,"At long last is lasting a little long, boys."
5,Clint Barton,Yeah. I think we lost the element of surprise.
6,Tony Stark,"Wait a second. No one else is going to deal with the fact that Cap just said ""language?"""
7,Steve Rogers,I know.
8,Steve Rogers,It just slipped out.
9,Strucker,Who gave the order to attack?
10,Fortress Soldier,"Herr Strucker, it's the Avengers. They landed in the far woods, the perimeter guard panicked."
11,Strucker,Can we hold them?
12,Fortress Soldier,They're the Avengers...
13,Strucker,Deploy the rest of the tanks.
14,Fortress Soldier,"Yes, sir."
15,Strucker,Concentrate fire on the weak ones. A hit can make them close ranks. Everything we've accomplished. But we're on the verge of our greatest breakthrough.
16,Dr. List,Then let's show them what we've accomplished. Send out the twins.
17,Strucker,It's too soon.
18,Dr. List,It's what they signed up for.
19,Strucker,My men can hold them.
20,Jarvis,"Sir, the city is taking fire."
21,Tony Stark,"Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion."
22,Iron Legion,This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help.
23,Iron Legion,We are here to help.
24,Strucker,"We will not yield! The Americans sent their circus freaks to test us. We will send them back, in bags. No Surrender!"
25,Soldiers,No Surrender!
26,Strucker,"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what we've been..."
27,Dr. List,The twins.
28,Strucker,They are not ready to take on...
29,Dr. List,"No, no. I mean..."
30,Dr. List,The Twins.
31,Pietro Maximoff,You didn't see that coming?
32,Natasha Romanoff,Clint!
33,Steve Rogers,We have an enhanced in the field.
34,Natasha Romanoff,Clint's hit!
35,Natasha Romanoff,Somebody want to deal with that bunker?
36,Natasha Romanoff,Thank you.
37,Steve Rogers,"Stark, we're really need to get inside."
38,Tony Stark,"I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?"
39,JARVIS,There's a pathway below the north tower.
40,Tony Stark,"Great, I wanna poke it with something."
41,Tony Stark,"Drawbridge is down, people."
42,Thor,The enhanced?
43,Steve Rogers,"He's a blur. All the new player's we've faced, I've never seen this. In fact, I still haven't."
44,Natasha Romanoff,"Clint's hit pretty bad, guys. We're gonna need evac."
45,Thor,I can get Barton to the jet. The sooner we're gone the better. You and Stark secure the scepter.
46,Steve Rogers,Copy that.
47,Thor,Looks like they're lining up.
48,Steve Rogers,"Well, they're excited."
49,Thor,Find the scepter.
50,Tony Stark,"And for gosh sake, watch your language!"
51,Steve Rogers,That's not going away anytime soon.
52,Tony Stark,"Guys, stop, we gotta talk about this."
53,Tony Stark,Good talk.
54,Fortress Soldier,No it wasn't.
55,Tony Stark,Sentry mode.
56,Tony Stark,"Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ."
57,Natasha Romanoff,We're locked down out here.
58,Steve Rogers,"Then get to Banner, time for a lullaby."
59,Tony Stark,"I know you're hiding more than files. Hey, J, give me an IR scan of the room, real quick."
60,JARVIS,The wall to your left...I'm reading steel reinforcement and an air current.
61,Tony Stark,"Please be a secret door, please be a secret door, please be a secret door..."
62,Tony Stark,Yay!
63,Natasha Romanoff,"Hey, big guy. The sun's getting real low."
64,Steve Rogers,Baron Strucker. Hydra's number one thug.
65,Strucker,"Technically, I'm a thug for SHIELD."
66,Steve Rogers,Well then technically you're unemployed. Where's Loki's scepter?
67,Strucker,"Don't worry, I know when I'm beat. You'll mention how I cooperated, I hope."
68,Steve Rogers,I'll put it right under illegal human experimentation.
69,Steve,Rogers: How many are there?
70,Steve Rogers,We have a second enhanced. Female. Do not engage.
71,Strucker,You'll have to be faster than...
72,Steve Rogers,"Guys, I got Strucker."
73,Tony Stark,"Yeah, I got...something bigger."
74,Tony Stark,"Thor, I got eyes on the prize."
