,Character,Dialog
0,CUT TO,"EXT. THRONE ROOM, SPACE ­ NIGHT"
1,THE OTHER,"The tesseract has awakened. It is on a little world. A human world. They would wield its power,..."
2,Loki,
3,THE OTHER,"But our ally knows its workings as they never will. He is ready to lead. And our force, our Chitauri, will follow."
4,THE OTHER,"The world will be his. The universe yours. And the humans, what can they do but burn?"
5,NICK FURY,How bad is it?
6,AGENT PHIL COULSON,That's the problem sir. We don't know.
7,COULSON,Dr. Selvig read an energy surge from the Tesseract four hours ago.
8,FURY,NASA didn't authorise Selvig to test phase.
9,COULSON,"He wasn't testing it, he wasn't even in the room. Spontaneous advancement."
10,AGENT MARIA HILL,It just turned itself on?
11,FURY,What are the energy levels
12,COULSON,"Climbing. When Selvig couldn't shut it down, we ordered evac."
13,FURY,How long to get everyone out?
14,COULSON,Campus should be clear in the next half hour.
15,FURY,Do better.
16,HILL,"Sir, evacuation may be futile."
17,FURY,We should tell them to go back to sleep?
18,HILL,"If we can't control the Tesseract's energy, there may not be a minimum safe distance."
19,FURY,I need you to make sure Phase 2 prototypes are shipped out.
20,HILL,"Sir, is that really a priority right now?"
21,FURY,"Until such a time as the world ends, we will act as though it intends to spin on. Clear out the tech below. Every peice of Phase 2 on a truck and gone."
22,HILL,Yes sir.  With me.
23,FURY,Talk to me doctor.
24,Dr. ERIK SELVIG,Director.
25,FURY,Is there anything we know for certain?
26,SELVIG,The Tesseract is misbehaving.
27,FURY,Is that supposed to be funny?
28,SELVIG,"No, it's not funny at all. The Tesseract is not only active, she's... misbehaving."
29,FURY,How soon until you pull the plug?
30,SELVIG,"She's an energy source. If we turn off the power, she turns it back on. If she reaches peak level..."
31,FURY,We've prepared for this doctor. Harnessing energy from space.
32,SELVIG,"We don't have the harness. Our calculations are far from complete. Now she's throwing off interference, radiation. Nothing harmful, low levels of gamma radiation."
33,FURY,That can be harmful. Where's Barton?
34,SELVIG,"The Hawk? Up in his nest, as usual"
35,FURY,"Agent Barton, report."
36,FURY,I gave you this detail so you could keep a close eye on things.
37,CLINT BARTON,"Well, I see better from a distance."
38,FURY,Are you seeing anything that might set this thing off?
39,NASA SCIENCETIST,"Doctor, it's spiking again."
40,CLINT,"No one's come or gone. It's oven is clean. No contancts, no I.M.'s. If there was any tampering, sir, it wasn't at this end."
41,FURY,At this end?
42,CLINT,"Yeah, the cube is a doorway to the other end of space, right? The doors open from both sides."
43,FURY,Sir please put down the spear.
44,LOKI,You have heart.
45,LOKI,Please don't. I still need that.
46,FURY,This doesn't have to get any messier.
47,LOKI,"Of course it does. I've come too far for anything else. I am Loki of Asgard, and I am burdened with glorious purpose."
48,SELVIG,Loki? Brother of Thor?
49,FURY,We have no quarrel with your people.
50,LOKI,An ant had no quarrel with a boot.
51,FURY,You planning to step on us?
52,LOKI,"I come with glad tidings, of a world made free."
53,FURY,Free from what?
54,LOKI,"Freedom. Freedom is life's great lie. Once you accept that, in your heart..."
55,LOKI,You will know peace.
56,FURY,"Yeah, you say peace, I kind of think you mean the other thing."
57,CLINT,"Sir, Director Fury is stalling. This place is about to blow. Drop a hundred feet of rock on us. He means to bury us."
58,FURY,Like the Pharaohs of Odin.
59,SELVIG,He's right. The portal is collapsing in on itself. You got maybe two minutes before this goes critical.
60,LOKI,Well then.
61,CLINT,Need these vehicles.
62,HILL,Who's that?
63,CLINT,He didn't tell me.
64,FURY,"Hill, do you copy?"
65,FURY,Barton is...
66,FURY,He's got the Tesseract! Track it down!
67,COULSON,No! Leave it!
68,COULSON,"You're clear, sir! You need to go!"
69,COULSON,"Director? Director Fury, do you copy?"
70,FURY,The tesseract is with the hostile force. I have men down. Hill?
71,HILL,"A lot of men still under, don't know how many survivors."
72,FURY,Sound the general call. I want every living soul not working rescue looking for that briefcase.
73,HILL,Roger that.
74,FURY,"Coulson, get back to base. This is a Level Seven. As of right now, we are at war."
75,COULSON,What do we do?
