,Character,Dialog
9,Tony Stark,Shit!
10,Steve Rogers,"Language! JARVIS, what's the view from upstairs?"
11,JARVIS,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other Hydra base we've taken.
12,Thor,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.
13,Natasha Romanoff,"At long last is lasting a little long, boys."
14,Clint Barton,Yeah. I think we lost the element of surprise.
15,Tony Stark,"Wait a second. No one else is going to deal with the fact that Cap just said ""language?"""
16,Steve Rogers,I know.
17,Steve Rogers,It just slipped out.
18,Strucker,Who gave the order to attack?
19,Fortress Soldier,"Herr Strucker, it's the Avengers. They landed in the far woods, the perimeter guard panicked."
20,Strucker,Can we hold them?
21,Fortress Soldier,They're the Avengers...
22,Strucker,Deploy the rest of the tanks.
23,Fortress Soldier,"Yes, sir."
24,Strucker,Concentrate fire on the weak ones. A hit can make them close ranks. Everything we've accomplished. But we're on the verge of our greatest breakthrough.
25,Dr. List,Then let's show them what we've accomplished. Send out the twins.
26,Strucker,It's too soon.
27,Dr. List,It's what they signed up for.
28,Strucker,My men can hold them.
29,Jarvis,"Sir, the city is taking fire."
30,Tony Stark,"Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion."
31,Iron Legion,This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help.
32,Iron Legion,We are here to help.
33,Strucker,"We will not yield! The Americans sent their circus freaks to test us. We will send them back, in bags. No Surrender!"
34,Soldiers,No Surrender!
35,Strucker,"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what we've been..."
36,Dr. List,The twins.
37,Strucker,They are not ready to take on...
38,Dr. List,"No, no. I mean..."
39,Dr. List,The Twins.
40,Pietro Maximoff,You didn't see that coming?
41,Natasha Romanoff,Clint!
42,Steve Rogers,We have an enhanced in the field.
43,Natasha Romanoff,Clint's hit!
44,Natasha Romanoff,Somebody want to deal with that bunker?
45,Natasha Romanoff,Thank you.
46,Steve Rogers,"Stark, we're really need to get inside."
47,Tony Stark,"I'm closing in. JARVIS, am I...closing in? Do you see a power source for that shield?"
48,JARVIS,There's a pathway below the north tower.
49,Tony Stark,"Great, I wanna poke it with something."
50,Tony Stark,"Drawbridge is down, people."
51,Thor,The enhanced?
