,Character,Dialog
0,CLINT BARTON,"Okay, hold on. Don't shoot. You see where you're going?"
1,LILA BARTON,Mhm.
2,CLINT BARTON,"Okay, now let's worry about how you get there."
3,CLINT BARTON,Here. Can you see?
4,LILA BARTON,Yeah.
5,CLINT BARTON,You sure?
6,LILA BARTON,Mhm.
7,CLINT BARTON,How about now?
8,CLINT BARTON,Alright. Ready your fingers.
9,COOPER BARTON,Nice.
10,LAURA BARTON,"Nice throw, kiddo."
11,COOPER BARTON,You go.
12,LAURA BARTON,"Hey, you guys want mayo or mustard, or both?"
13,LILA BARTON,Who wants mayo on a hotdog?
14,CLINT BARTON,Probably your brothers.
15,CLINT BARTON,"Uh, two mustard, please! Thanks, mama."
16,LAURA BARTON,Mayo or mustard?
17,NATHANIEL BARTON,How about ketchup?
18,LAURA BARTON,Ketchup?  I can do ketchup.
19,CLINT BARTON,"Mind your elbow.  Hahaha! Good job, Hawkeye. Go get your arrow."
20,LAURA BARTON,"Hey guys! Enough practice, soup's on!"
21,CLINT BARTON,"Alright, we're coming; we're hungry.  Hey, babe! Babe? Babe? Boys? Boys? Laura?"
22,NEBULA,Wrra!
23,TONY STARK,You don't need to do that. Because uh... you're just holding position.  That's a goal. We're now one apiece.
24,NEBULA,I would like to try again.
25,TONY STARK,We're tied up. Feel the tension? It's fun.
26,TONY STARK,That was terrible. Now you have a chance to win.
27,TONY STARK,And... you've won. Congratulations.
28,TONY STARK,Fair game. Good sport.  Have fun?
29,NEBULA,It was fun.
30,TONY STARK,"This thing on?  But it's now dead in the water. We're 1000 light years from the nearest 7-11. Oxygen will run out tomorrow. And that'll be it. And Pep, I ... I know I said no more surprises, but I was really hoping to pull off one last one. But it looks like... well you know what it looks like. Don't feel bad about this. I mean, if you grovel for a couple of weeks, and then move on with enormous guilt. I should probably lie down. Please know that... when I drift off, I will think about you. Because it's always you."
31,TONY STARK,Couldn't stop him.
32,STEVE ROGERS,Neither could I.
33,TONY STARK,I lost the kid.
34,STEVE ROGERS,"Tony, we lost."
35,TONY STARK,"Is, uh...?"
36,PEPPER POTTS,"Oh, my God! Oh, my God!"
37,TONY STARK,It's okay.
38,JAMES RHODES,It's been 23 days since Thanos came to Earth.
39,NATASHA ROMANOFF,"World governments are in pieces. The parts that are still working are trying to take a census. And it looks like he did... he did exactly what he said he was gonna do. Thanos wiped out fifty percent, of all living creatures."
40,TONY STARK,Where is he now? Where?
41,STEVE ROGERS,We don't know. He just opened a portal and walked through.
42,TONY STARK,What's wrong with him?
43,ROCKET,"Oh, he's pissed. He thinks he failed. Which of course he did, but you know there's a lot of that's going around, ain't there?"
44,TONY STARK,"Honestly, until this exact second, I thought you were a Build-A-Bear."
45,ROCKET,Maybe I am.
46,STEVE ROGERS,"We've been hunting Thanos for three weeks now. Deep Space scans, and satellites, and we got nothing. Tony, you fought him."
47,TONY STARK,"Who told you that?  I didn't fight him. No, he wiped my face with a planet while the Bleecker Street Magician gave away the store. That's what happened. There was no fight."
48,STEVE ROGERS,Okay.
49,TONY STARK,He's unbeatable.
50,STEVE ROGERS,"Did he give you any clues, any coordinates, anything?"
51,TONY STARK,Pfft! I saw this coming a few years back. I had a vision. I didn't wanna believe it. Thought I was dreaming.
52,STEVE ROGERS,"Tony, I'm gonna need you to focus."
53,TONY STARK,I need to shave. And I believe I remember telling all youse -
54,RHODEY,"Tony, Tony, Tony!"
55,TONY STARK,Alive and otherwise what we needed was a suit of armor around the world! Remember that? Whether it impacted our precious freedoms or not- that's what we needed!
56,STEVE ROGERS,"Well, that didn't work out, did it?"
57,TONY STARK,"I said, ""we'd lose"". You said, ""We'll do that together too."" And guess what, Cap? We lost. And you weren't there. But that's what we do, right? Our best work after the fact? We're the Avengers, we're the Avengers. Not the Prevengers."
58,RHODEY,Okay.
59,TONY STARK,Right?
60,RHODEY,You made your point. Just sit down.
61,TONY STARK,Okay...
62,RHODEY,Okay?
63,TONY STARK,"Nah, nah. Here's my point. You know what?"
64,RHODEY,"Tony, you're sick."
65,TONY STARK,"She's great, by the way."
66,RHODEY,Sit down. Sit.
67,TONY STARK,"We need you. You're new blood. Bunch of tired old mules!  I got nothing for you, Cap! I got no coordinates, no clues, no strategies, no options. Zero. Zip. Nada. No trust. Liar."
68,TONY STARK,"Here, take this. You find him, and you put that on. You hide."
69,STEVE ROGERS,Tony!
70,TONY STARK,I'm fine. I...
71,RHODEY,Bruce gave him a sedative. He's gonna probably be out for the rest of the day.
72,CAROL DANVERS,You guys take care of him. And I'll bring him a Xorrian Elixir when I come back.
73,NATASHA ROMANOFF,Where are you going?
74,CAROL DANVERS,To kill Thanos.
75,NATASHA ROMANOFF,"Hey, you know, we usually work as a team here, and between you and I, morale's a little fragile."
76,STEVE ROGERS,"We realize up there is more your territory, but this is our fight too."
77,RHODEY,You even know where he is?
78,CAROL DANVERS,I know people who might.
79,NEBULA,"Don't bother. I can tell you where Thanos is. Thanos spent a long time trying to perfect me. And when he worked, he talked about his great plan. Even disassembled, I wanted to please him. I'd ask ""where would we go once his plan was complete?"". His answer was always the same: ""To the Garden."""
80,RHODEY,"That's cute, Thanos has a retirement plan."
81,STEVE ROGERS,So where is he?
82,ROCKET,"When Thanos snapped his fingers, Earth became ground zero for a power surge of ridiculously cosmic proportions. No one's ever seen anything like it... Until two days ago.  On this planet."
83,NEBULA,Thanos is there.
84,NATASHA ROMANOFF,He used the stones again.
85,BRUCE BANNER,"Hey, hey, hey. We'd be going in short-handed, you know."
86,RHODEY,"Look, he's still got the stones, so..."
87,CAROL DANVERS,So let's get him... Use them to bring everyone back.
88,RHODEY,Just like that?
89,STEVE ROGERS,"Yeah, just like that."
90,NATASHA ROMANOFF,Even if there's a small chance that we can undo this... I mean we owe it to everyone who's not in this room to try.
91,BRUCE BANNER,"If we do this, how do we know it's gonna end any differently than it did before?"
92,CAROL DANVERS,"Because before, you didn't have me."
93,RHODEY,"Hey, new girl, everyone here is about that superhero life. And if you don't mind my asking, where the hell have you been all this time?"
94,CAROL DANVERS,"There are a lot of other planets in the universe. And unfortunately, they didn't have you guys."
95,THOR,I like this one.
96,STEVE ROGERS,Let's go get this son of a bitch.
97,[Title Screen,Avengers: Endgame]
98,ROCKET,"Okay, who here hasn't been to space?"
99,RHODEY,Why?
100,ROCKET,You better not throw up on my ship.
101,NEBULA,Approaching jump in 3... 2... 1!
102,CAROL DANVERS,I'll head down for recon.
103,NATASHA ROMANOFF,"This is gonna work, Steve."
104,STEVE ROGERS,I know it will.
105,STEVE ROGERS,Cause I don't know what I'm going to do if it doesn't.
106,CAROL DANVERS,"No satellites, no ships, no armies, no ground defenses of any kind. It's just him."
107,NEBULA,And that's enough.
108,ROCKET,Oh no.
109,STEVE ROGERS,Where are they?
110,CAROL DANVERS,Answer the question!
111,THANOS,"The universe required correction. After that, the stones served no purpose, beyond temptation."
112,BRUCE BANNER,You murdered trillions!
113,THANOS,You should be grateful.
114,NATASHA ROMANONFF,Where are the Stones?
115,THANOS,Gone. Reduced to atoms.
116,BRUCE BANNER,You used them two days ago!
117,THANOS,I used the stones to destroy the stones. It nearly killed me. But the work is done. It always will be.  I am... inevitable.
118,RHODEY,"We have to tear this place apart, he-he-he has to be lying."
119,NEBULA,My father is many things. A liar is not one of them.
120,THANOS,"Ah, thank you, daughter.  Perhaps I treated you too harshly."
121,ROCKET,What... What did you do?
122,THOR,I went for the head.
123,JOE RUSSO,"So I, uh... Went on a date the other day. It's the first time in five years, you know? I'm sitting there at dinner... I didn't even know what to talk about."
124,STEVE ROGERS,What did you talk about?
125,JOE RUSSO,"Same old crap, you know? How things have changed, and... my job, his job... How much we miss the Mets. And then things get quiet... He cried as they were serving the salads."
126,JIM STARLIN,What about you?
127,JOE RUSSO,"I cried... just before dessert. But I'm seeing him again tomorrow, so..."
128,STEVE ROGERS,"That's great. You did the hardest part. You took the jump, you didn't know where you were gonna come down. And that's it. That's those little brave baby steps we gotta take. To try and become whole again, try and find purpose. I went in the ice in '45 right after I met the love of my life. Woke up 70 years later. You gotta move on. Gotta to move on. The world is in our hands. It's left to us guys, and we got to do something with it. Otherwise... Thanos should have killed all of us."
129,[Screen Title,SAN FRANCISCO]
130,SCOTT LANG,What the hell?
131,SCOTT LANG,Hope?
132,SCOTT LANG,Kid! Hey kid!
133,SCOTT LANG,What the hell happened here?
134,SCOTT LANG,"No. Please. Please, please.  Excuse me, sorry. No, Cassie, no."
135,SCOTT LANG,
136,SCOTT LANG,What?
137,SCOTT LANG,Cassie?
138,CASSIE LANG,Dad?
139,SCOTT LANG,You're so big!
140,ROCKET,"Yeah, we boarded that highly suspect warship Danvers pinged."
141,"[The camera cuts showing a few of the Avengers in holographic calls from the left to right, respectively","Nebula and Rocket Raccoon, Okoye, Danvers with a tomboyish haircut, and Rhodes.]"
142,NEBULA,It was an infectious garbage scowl.
143,ROCKET,"So, thanks for the hot tip."
144,CAROL DANVERS,"Well, you were closer."
145,ROCKET,Yeah. And now we smell like garbage.
146,NATASHA ROMANOFF,You get a reading on those tremors?
147,OKOYE,It was a mild subduction under the African plate.
148,NATASHA ROMANOFF,Do we have a visual? How are we handling it?
149,OKOYE,"Nat, it's an earthquake under the ocean. We handle it by not handling it."
150,NATASHA ROMANOFF,"Carol, are we seeing you here next month?"
151,CAROL DANVERS,Not likely.
152,ROCKET,"What, you gonna get another haircut?"
153,CAROL DANVERS,"Listen fur-face, I'm covering a lot of territory. The things that are happening on Earth, are happening everywhere, on thousands of planets."
154,ROCKET,"All right, all right, that's a good point. That's a good point."
155,CAROL DANVERS,So you might not see me for a long time.
156,NATASHA ROMANOFF,"Alright. Uh, well. This channel is always active. So, if anything goes sideways... anyone's making trouble where they shouldn't... comes through me."
157,ROCKET,Okay.
158,NATASHA ROMANOFF,Alright.
159,CAROL DANVERS,
160,NATASHA ROMANOFF,Where are you?
161,RHODEY,Mexico. The Federales found a room full of bodies. Looks like a bunch of cartel guys. Never even had the chance to get their guns off.
162,NATASHA ROMANOFF,It's probably a rival gang.
163,RHODEY,"Except it isn't.  I gotta tell you, there's a part of me that doesn't even want to find him."
164,NATASHA ROMANOFF,Will you find out where he's going next?
165,RHODEY,Nat...
166,NATASHA ROMANOFF,Please.
167,RHODEY,
168,STEVE ROGERS,You know I'd offer to cook you dinner but you seem pretty miserable already.
169,NATASHA ROMANOFF,You here to do your laundry?
170,STEVE ROGERS,And to see a friend.
171,NATASHA ROMANOFF,"Clearly, your friend is fine."
172,STEVE ROGERS,You know I saw a pod of whales when I was coming up the bridge.
173,NATASHA ROMANOFF,In the Hudson?
174,STEVE ROGERS,"There's fewer ships, cleaner water."
175,NATASHA ROMANOFF,"You know, if you're about to tell me to look on the bright side. Um... I'm about you to hit you in the head with a peanut butter sandwich."
176,STEVE ROGERS,Sorry. Force of habit.
177,STEVE ROGERS,"You know, I keep telling everybody they should move on and... grow. Some do. But not us."
178,NATASHA ROMANOFF,"If I move on, who does this?"
179,STEVE ROGERS,Maybe it doesn't need to be done.
180,NATASHA ROMANOFF,I used to have nothing. And then I got this. This job... this family. And I was... I was better because of it. And even though... they're gone... I'm still trying to be better.
181,STEVE ROGERS,I think we both need to get a life.
182,NATASHA ROMANOFF,You first.
183,SCOTT LANG,"Oh! Hi. Hi! Is anyone home? This is Scott Lang. We met a few years ago, at the airport? In Germany? I got really big, and I had my mask on. You wouldn't recognize me."
184,STEVE ROGERS,Is this an old message?
185,NATASHA ROMANOFF,It's the front gate.
186,SCOTT LANG,"Ant-Man? Ant-Man, I know you know that. I need to talk to you guys."
187,STEVE ROGERS,Scott. Are you okay?
188,SCOTT LANG,Yeah. I'm fine.
189,SCOTT LANG,Have you ever studied Quantum Physics?
190,NATASHA ROMANOFF,Only to make conversation.
191,SCOTT LANG,"Alright. So... five years ago, right before Thanos, I was in a place called the Quantum Realm. The Quantum Realm is like its own microscopic universe. To get in there, you have to be incredibly small. Hope, she's my... She was my...  She was supposed to pull me out. And then Thanos happened, and I got stuck in there."
192,NATASHA ROMANOFF,I'm sorry. That must've been a very long five years.
193,SCOTT LANG,"Yeah, but that's just it. It wasn't. For me, it was five hours."
194,SCOTT LANG,"See, the rules of the Quantum Realm aren't like they are up here. Everything is unpredictable. Is that anybody's sandwich? I'm starving."
195,STEVE ROGERS,"Scott, what are you talking about?"
196,SCOTT LANG,"What I'm saying is, time works differently in the Quantum Realm. The only problem is right now, we don't have a way to navigate it. But what if we did? I can't stop thinking about it. What if, we could somehow control the chaos, and we could navigate it? What if there was a way to enter the Quantum Realm at a certain point in time but then exit at another point in time? Like... Like before Thanos."
197,STEVE ROGERS,"Wait, are you talking about a time machine?"
198,SCOTT LANG,"No. No, of course not. No, not a time machine. It's more like a... Yeah, a time machine. I know it's crazy. But I can't stop thinking about it. There's gotta be some way... There's gotta be...some w... it's crazy."
199,NATASHA ROMANOFF,"Scott, I get e-mails from a raccoon, so nothing sounds crazy anymore."
200,SCOTT LANG,So who do we talk to about this?
201,TONY STARK,Maguna? Morgan H. Stark. You want some lunch?
202,MORGAN STARK,Define lunch or be disintegrated.
203,TONY STARK,"Okay, You should not be wearing that, okay? That is part of a special anniversary gift I'm making for Mom."
204,MORGAN STARK,Okay.
205,TONY STARK,There you go. Are you thinking about lunch? I can give you a handful of crickets on a bed of lettuce.
206,MORGAN STARK,No.
207,TONY STARK,That's what you want. How did you find this?
208,MORGAN STARK,Garage.
209,TONY STARK,Really? Were you looking for it?
210,MORGAN STARK,"No. I found it, though."
211,TONY STARK,"You like going to the garage, huh? So does daddy. It's fine, actually. Your mom never wears anything I buy her."
212,SCOTT LANG,"Now, we know what it sounds like..."
213,STEVE ROGERS,"Tony, after everything you've seen, is anything really impossible?"
214,TONY STARK,"Quantum fluctuation messes with the Planck Scale, which then triggers the Deutsch Proposition. Can we agree on that?"
215,STEVE ROGERS,Thank you.
216,TONY STARK,"In Layman's terms, it means you're not coming home."
217,SCOTT LANG,I did.
218,TONY STARK,"No, you accidentally survived. It's a billion to one cosmic fluke. And now you wanna pull off a... What do you call it?"
219,SCOTT LANG,A time heist?
220,TONY STARK,"Yeah, a time heist. Of course, why didn't we think of this before? Oh, because it's laughable? Because it's a pipedream?"
221,SCOTT LANG,The Stones are in the past. We can go back and get them.
222,NATASHA ROMANOFF,We can snap our own fingers. We can bring everyone back.
223,TONY STARK,"Or screw it up worse than he already has, right?"
224,STEVE ROGERS,I don't believe we would.
225,TONY STARK,"Gotta say, sometimes I miss that giddy optimism. However, high hopes won't help if there's no logical, tangible way for me to safely execute said time heist. I believe the most likely outcome would be our collective demise."
226,SCOTT LANG,"Not if we strictly follow the rules of time travel. That means no talking to our past selves, no betting on sporting events -"
227,TONY STARK,"I'm gonna stop you right there, Scott. Are you seriously telling me that your plan to save the universe is based on Back To The Future?"
228,SCOTT LANG,No.
229,TONY STARK,Good. You had me worried there. 'Cause that'd be horse shit. That's not how quantum physics works.
230,NATASHA ROMANOFF,Tony... We have to take a stand.
231,TONY STARK,"We did stand. And yet, here we are."
232,SCOTT LANG,"I know you got a lot on the line. You got a wife, a daughter. But I lost someone very important to me. A lot of people did.  And now, now we have a chance to bring her back. To bring everyone back. And you're telling me that won't even..."
233,TONY STARK,"That's right, Scott, I won't even. I got a kid."
234,MORGAN STARK,Mommy told me to come and save you.
235,TONY STARK,"Good job. I'm saved.  I wish you'd come here to ask me something else. Anything else. Honestly, I... I missed you guys, it was... Oh, and table's set for six."
236,STEVE ROGERS,"Tony, I get it. And I'm happy for you, I really am. But this is a second chance."
237,TONY STARK,"I got my second chance right here, Cap. I can't roll the dice again. If you don't talk shop, you can stay for lunch."
238,NATASHA ROMANOFF,He's scared.
239,STEVE ROGERS,He's not wrong.
240,SCOTT LANG,"Yeah, but I mean, what are we gonna do? We need him. What, are we gonna stop?"
241,STEVE ROGERS,"No, I wanna do it right. We're gonna need a really big brain."
242,SCOTT LANG,Bigger than his?
243,BRUCE BANNER,"Come on, I feel like I'm the only one eating.  Try some of that. Have some eggs."
244,SCOTT LANG,I'm so confused.
245,BRUCE BANNER,These are confusing times.
246,SCOTT LANG,"Right. No, no, that's not what I meant."
247,BRUCE BANNER,"No, I get it. I'm kidding! I know. It's crazy. I'm wearing shirts now."
248,SCOTT LANG,Yeah! Wh...How? Why?
249,BRUCE BANNER,"Five years ago, we got our asses beaten. Except it was worse for me. Because I lost twice. First, Hulk lost, then Banner lost. Then, we all lost."
250,NATASHA ROMANOFF,"No one blamed you, Bruce."
251,BRUCE BANNER,"I did. For years, I've been treating the Hulk like he's some kind of disease, something to get rid of. But then I started looking at him as the cure. Eighteen months in a gamma lab. I put the brains and the brawn together. And now look at me. Best of both worlds..."
252,GIRL,"Excuse me, Mr. Hulk?"
253,BRUCE BANNER,Yes?
254,GIRL,Can we get a photo?
255,BRUCE BANNER,"100%, little person. Come on, step up.  You mind?"
256,SCOTT LANG,"Oh, yeah."
257,BRUCE BANNER,"Thanks,"
258,BRUCE BANNER,Did you get that?
259,SCOTT LANG,Don't you wanna grab one with me? I'm Ant-Man.
260,SCOTT LANG,"They're Hulk fans, they don't know Ant-Man. Nobody does."
261,BRUCE BANNER,"Wait, no, no, he feels bad. No, he wants you to...he wants to..."
262,BOY,Stranger Danger.
263,SCOTT LANG,He's even saying no he doesn't. I get it. I don't want it either.
264,BRUCE BANNER,"But, come on, the kid! But he...but you..."
265,SCOTT LANG,I don't want a picture with them.
266,BRUCE BANNER,Sorry. They said they'd do it.
267,SCOTT LANG,I don't want it anymore.
268,BRUCE BANNER,"No, no...you feel bad."
269,SCOTT LANG,Just take the goddamn phone.
270,GIRL,"Thank you, Mr. Hulk."
271,BRUCE BANNER,"No, it's great kids. Thank you very much.  Hulk out!"
272,STEVE ROGERS,Bruce.
