,Character,Dialog
0,Asgardian PA,"This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard."
1,Ebony Maw,"Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile...  for even in death, you have become Children of Thanos."
2,Thanos,"It's frightening. Turns the legs to jelly. I ask you, to what end? Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say... I AM."
3,Thor,You talk too much.
4,Thanos,"The Tesseract, or your brother's head. I assume you have a preference."
5,Loki,"Oh, I do. Kill away!"
6,Loki,"ALL RIGHT, STOP!"
7,Thor,We don't have the Tesseract. It was destroyed on Asgard.
8,Thor,You really are the worst brother.
9,Loki,"I assure you, brother... the sun will shine on us again."
10,Thanos,"Your optimism is misplaced, Asgardian."
11,Loki,"Well, for one thing, I'm not Asgardian. And for another... we have a Hulk."
12,Ebony Maw,Let him have his fun.
13,Heimdall,Allfathers… let the dark magic flow through me one last... time.
14,Thanos,That was a mistake.
15,Thor,NO!!!  You're going to die for that!
16,Ebony Maw,Shh.
17,Ebony Maw,"My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp."
18,Thanos,"There are two more Stones on Earth. Find them, my children, and bring them to me on Titan."
19,Proxima Midnight,"Father, we will not fail you."
20,Loki,"If I might interject… if you're going to Earth, you might want a guide. I do have a bit of experience in that arena."
21,Thanos,If you consider failure experience.
22,Loki,"I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard...  Odinson... the rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity."
23,Thanos,"""Undying?"" You should choose your words more carefully."
24,Loki,
25,Thor,NO!
26,Thanos,No resurrections this time.
27,Thor,No… Loki….
28,Stephen Strange,Seriously? You don't have any money?
29,Wong,Attachment to the material is detachment from the spiritual.
30,Stephen Strange,I'll tell the guys at the deli.  Maybe they'll make you a metaphysical ham on rye.
31,Wong,"Oh, wait, wait, wait, I think I have 200."
32,Stephen Strange,Dollars?
33,Wong,Rupees.
34,Stephen Strange,Which is?
35,Wong,"Uh, buck and a half."
36,Stephen Strange,What do you want?
37,Wong,I wouldn't say no to a tuna melt.
38,Bruce Banner,Thanos is coming. He's coming...
39,Stephen Strange,Who?
40,[Title Screen,Avengers: Infinity War]
41,Tony Stark,"Slow down, slow down. I'm totally not kidding."
42,Pepper Potts,You're totally rambling.
43,Tony Stark,"No, I'm not."
44,Pepper Potts,Lost me.
45,Tony Stark,"Look, you know how you're having a dream, and in the dream you gotta pee?"
46,Pepper Potts,Yeah.
47,Tony Stark,"Okay, and then you're like, 'Oh my god, there's no bathroom, what am I gonna do?', 'Oh! Someone's watching,' ''m gonna go in my pants.'"
48,Pepper Potts,"Right. And then you wake up, and in real life you actually have to pee."
49,Tony Stark,Yes.
50,Pepper Potts,Yeah. Everybody has that.
51,Tony Stark,"Right! That's the point I'm trying to make. Apropos of that, last night, I dreamt, we had a kid. So real. We named him after your eccentric uncle. Uh, what was his name?"
52,Pepper Potts,Right.
53,Tony Stark,Morgan! Morgan.
54,Pepper Potts,"So you woke up, and thought that we were..."
55,Tony Stark,Expecting.
56,Pepper Potts,Yeah.
57,Tony Stark,Yes?
58,Pepper Potts,No.
59,Tony Stark,I had a dream about it. It was so real.
60,Pepper Potts,"If you wanted to have a kid, you wouldn't have done that."
61,Tony Stark,"I'm glad you brought this up, 'cause it's nothing. It's just a housing unit for nano particles."
62,Pepper Potts,"It's not helping your case, OK?"
63,Tony Stark,"No, no, it's an attachment, it's not a-"
64,Pepper Potts,You don't need that.
65,Tony Stark,"I know. I had the surgery. I'm just trying to protect us. The future uses, and that's it. Just in case there's a monster in the closet, instead of, you know..."
66,Pepper Potts,Shirts?
67,Tony Stark,You know me so well. You finish all my sentences.
68,Pepper Potts,You should have shirts in your closet.
69,Tony Stark,Yeah. You know what there should be? No more surprises. We're gonna have a nice dinner tonight. Show off this Harry Win-stone. Right? And we should have no more surprises. Ever. I should promise you.
70,Pepper Potts,Yes.
71,Tony Stark,I will.
72,Stephen Strange,"Tony Stark, I'm Doctor Stephen Strange. I need you to come with me. Oh, uh, congratulations on the wedding, by the way."
73,Tony Stark,"I'm sorry, you giving out tickets or something?"
74,Stephen Strange,"We need your help. Look, it's not overselling to say that the fate of the universe is at stake."
75,Tony Stark,"And who's ""we""?"
76,Bruce Banner,"Hey, Tony."
77,Tony Stark,Bruce.
78,Bruce Banner,Pepper.
79,Pepper Potts,Hi.
80,Tony Stark,You okay?
81,Wong,"From the dawn of the universe, there was nothing. Then, boom! The Big Bang sent six elemental crystals, hurtling across the virgin universe. These Infinity Stones each control an essential aspect of existence."
82,Stephen Strange,Space. Reality. Power. Soul. Mind. And Time.
83,Tony Stark,Tell me his name again.
84,Bruce Banner,"Thanos. He's a plague, Tony. He invades planets. He takes what he wants. He wipes out half the population. He sent Loki. The attack on New York. That's him."
85,Tony Stark,This is it... What's our timeline?
86,Bruce Banner,"No telling. He has the Power and Space Stones, that already makes him the strongest creature in the whole universe. If he gets his hands, on all six Stones, Tony..."
87,Stephen Strange,He can destroy life on a scale hitherto undreamt of.
88,Tony Stark,"Did you seriously just say ""hitherto undreamt of""?"
89,Stephen Strange,Are you seriously leaning on the Cauldron of the Cosmos?
90,Tony Stark,Is that what this is.... ?
91,Tony Stark,"I'm going to allow that. If Thanos needs all six, why don't we just stick this one down the garbage disposal?"
92,Stephen Strange,No can do.
93,Wong,We swore an oath to protect the Time Stone. With our lives.
94,Tony Stark,"And I swore off dairy, but then, Ben & Jerry's named a flavor after me, so...."
95,Stephen Strange,Stark Raving Hazelnuts.
96,Tony Stark,It's not bad.
97,Stephen Strange,A bit chalky.
98,Wong,A Hunka-Hulka Burning Fudge is our favorite.
99,Bruce Banner,That's a thing?
100,Tony Stark,Whatever. Point is: things change.
101,Stephen Strange,Our oath to protect the Time Stone cannot change. This Stone may be the best chance we have against Thanos.
102,Tony Stark,"And still conversely, it may also be his best chance against us."
103,Stephen Strange,"Well, if we don't do our jobs."
104,Tony Stark,"What is your job exactly, besides making balloon animals?"
105,Stephen Strange,"Protecting your reality, douchebag."
106,Bruce Banner,"Okay, guys, could we table this discussion right now? The fact is that we have this Stone. We know where it is. Vision is out there somewhere with the Mind Stone, and we have to find him now."
107,Tony Stark,"Yeah, that's the... thing."
108,Bruce Banner,What do you mean?
109,Tony Stark,"Two weeks ago, Vision turned off his transponder. He's offline."
110,Bruce Banner,"What? Tony, you lost another super bot?"
