,conversation
0,There's nothing to tell! He's just some guy I work with!
1,"C'mon, you're going out with the guy! There's gotta be something wrong with him!"
2,"All right Joey, be nice.  So does he have a hump? A hump and a hairpiece?"
3,"Wait, does he eat chalk?"
4,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!"
5,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex."
6,Sounds like a date to me.
7,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked."
8,"Oh, yeah. Had that dream."
9,"Then I look down, and I realize there's a phone... there."
10,Instead of...?
11,That's right.
12,Never had that dream.
13,No.
14,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me."
15,And they weren't looking at you before?!
16,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
17,Hi.
18,"This guy says hello, I wanna kill myself."
19,"Are you okay, sweetie?"
20,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck..."
21,Cookie?
22,Carol moved her stuff out today.
23,Ohh.
24,Let me get you some coffee.
25,Thanks.
26,Ooh! Oh!
27,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?"
28,Fine!  Be murky!
29,"I'll be fine, alright? Really, everyone. I hope she'll be very happy."
30,No you don't.
31,"No I don't, to hell with her, she left me!"
32,And you never knew she was a lesbian...
33,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?"
34,Sometimes I wish I was a lesbian...  Did I say that out loud?
35,"I told mom and dad last night, they seemed to take it pretty well."
36,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what?  A wrong number?"
37,Sorry.
38,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?"
39,"Strip joint! C'mon, you're single! Have some hormones!"
40,"I don't want to be single, okay? I just... I just- I just wanna be married again!"
41,And I just want a million dollars!
42,Rachel?!
43,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
44,Can I get you some coffee?
45,"De-caff.  Okay, everybody, this is Rachel, another Lincoln High survivor.  This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?"
46,"Hi, sure!"
47,Hi.
48,"So you wanna tell us now, or are we waiting for four wet bridesmaids?"
49,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'.  So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city."
50,Who wasn't invited to the wedding.
51,"Ooh, I was kinda hoping that wouldn't be an issue..."
52,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it."
53,Tuna or egg salad?  Decide!
54,I'll have whatever Christine is having.
55,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!"
56,"If I let go of my hair, my head will fall off."
57,"Ooh, she should not be wearing those pants."
58,I say push her down the stairs.
59,Push her down the stairs! Push her down the stairs! Push her down the stairs!
60,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
61,You can see where he'd have trouble.
62,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica."
63,"Well, I guess we've established who's staying here with Monica..."
64,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!"
65,"Just breathe, breathe.. that's it. Just try to think of nice calm things..."
66,"Raindrops on roses and rabbits and kittens,  bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few..."
67,I'm all better now.
68,I helped!
69,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing."
70,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
71,"Joey, stop hitting on her! It's her wedding day!"
72,"What, like there's a rule or something?"
73,"Please don't do that again, it's a horrible sound."
74,"It's, uh, it's Paul."
75,"Oh God, is it 6:30?  Buzz him in!"
76,Who's Paul?
77,"Paul the Wine Guy, Paul?"
78,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
79,He finally asked you out?
80,Yes!
81,"Ooh, this is a Dear Diary moment."
82,"Rach, wait, I can cancel..."
83,"Please, no, go, that'd be fine!"
84,"Are, are you okay? I mean, do you want me to stay?"
85,That'd be good...
86,Really?
87,"No, go on! It's Paul the Wine Guy!"
88,"What does that mean?   Does he sell it, drink it, or just complain a lot?"
89,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul."
90,Hey! Paul! Hi! The Wine Guy! Hey!
91,"I'm sorry, I didn't catch your name. Paul, was it?"
92,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah..."
93,A wandering?
94,"Change!  Okay, sit down.  Two seconds."
95,"Ooh, I just pulled out four eyelashes. That can't be good."
96,"Hey, Paul!"
97,Yeah?
98,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
99,"Shut up, Joey!"
100,"So Rachel, what're you, uh... what're you up to tonight?"
