,Character,Dialog
0,Tony Stark,"We create our own demons. Who said that? What does that even mean? Doesn't matter, I said it cause he said it. So now he was famous and that's basically get said by two well known guys. I don't, uh..."
1,Tony Stark,I'm gonna start again. Let's track this from the beginning.
2,Happy Hogan,Half hour till the ball drops.
3,Tony Stark,"Hey, do you want...?"
4,Party Guest,"Tony Stark? Great speech, man!"
5,Happy Hogan,"I got you, pal."
6,Tony Stark,I gave a speech? How was it?
7,Happy Hogan,Pitiful
8,Maya Hansen,Unintelligible.
9,Tony Stark,Really?
10,Maya Hansen,Mmm-hmm.
11,Tony Stark,"It's my favorite kind, a winning combo."
12,Maya Hansen,Where are we going?
13,Tony Stark,"Uh, to town on each other, probably back in your room. Cause I also wanna see your research."
14,Maya Hansen,"Okay, you can see my research, but that's...I'm not gonna show you my ""town."""
15,Ho Yinsen,Mr. Stark
16,Tony Stark,"Oh, I finally met a man called ""Ho."""
17,Ho Yinsen,"I would like to introduce you to our guest, Dr. Wu."
18,Tony Stark,"Oh, this guy."
19,Ho Yinsen,Mr. Stark.
20,Tony Stark,Hey.
21,Maya Hansen,Bye.
22,Ho Yinsen,Perhaps another time.
23,Tony Stark,"It started in Bern, Switzerland, 1999."
24,Aldrich Killian,Mr. Stark!
25,Tony Stark,I never thought they'd come back to bite me. Why would they?
26,Aldrich Killian,"Oh, wow! Hey, Tony! Aldrich Killian.  I'm a big fan of your work!"
27,Maya Hansen,My work?
28,Tony Stark,Who isn't? He means me.
29,Aldrich Killian,"Well, of course. But, Miss Hansen, my organization has been tracking your research since year two of MIT."
30,Happy Hogan,"Yeah, we're full."
31,Tony Stark,"Oh, wow. He made it. He made the cut."
32,Happy Hogan,"What floor are you going to, pal?"
33,Aldrich Killian,"Oh, now, that is an appropriate question. The ground floor, actually. I've got a proposal I'm putting together with myself. It's a privately funded think tank called, Advanced Idea Mechanics."
34,Tony Stark,Uh... she'll take both.
35,Maya Hansen,Okay.
36,Tony Stark,One to throw away and one to not call.
37,Aldrich Killian,"Advanced Idea Mechanics, or AIM for short.  Do you get it?"
38,Tony Stark,"I see that, cause it's on your t-shirt."
39,Aldrich Killian,Aw!
40,Tony Stark,Ladies first.
41,Maya Hansen,"Thank you, I'll call you."
42,Tony Stark,I'm titillated by the notion of working with you.
43,Aldrich Killian,Yeah?
44,Tony Stark,"Yeah, cheese clown. I'll see you up on the roof in five minutes.  I'm just going to try to get my beef wet real quick. You know what I'm talkin' about?"
45,Aldrich Killian,I'll see you up there.
46,Tony Stark,Damn betcha.
47,Tony Stark,Come on! I thought that was just a theory.
48,Maya Hansen,"Well, it was. If I'm right, we can access the area of the brain that governs repair..."
49,Tony Stark,Wow.
50,Maya Hansen,...And chemically recode it.
51,Tony Stark,That's incredible. Essentially you're hacking into the genetic...
52,Both,...Genetic operating system...
53,Tony Stark,...of a...
54,Maya Hansen,Exactly.
55,Tony,...living organism.
56,Maya Hansen,Yes.
57,Tony Stark,Wow.
58,Maya Hansen,Is that... Can you...
59,Happy Hogan,What?
60,Maya Hansen,Can you not touch my plant. It's not...she doesn't like it. She prefers...
61,Tony Stark,She's not like the others.​​​​​​  Come on. Let's go in the bedroom. Happy...
62,Maya Hansen,"That's cute, but..."
63,Tony Stark,Leave her ficus alone.
64,Maya Hansen,
65,Tony Stark,And you're starting with plants?
66,Maya Hansen,"For now, yeah."
67,Tony Stark,Huh.
68,Maya Hansen,I'm calling it Extremis.
69,Maya Hansen,"Well, it's..."
70,Both,Human application.
71,Maya Hansen,Exactly! Exactly.
72,Maya Hansen,Dendritic revitalization.
73,Tony Stark,It's revolutionary.
74,Maya Hansen,Disease prevention...
75,Tony Stark,Changes the world.
76,Maya Hansen,...even limb regrowth.
77,Tony Stark,You're the most gifted woman I've ever met.
78,Maya Hansen,Wow.
79,Tony Stark,In Switzerland.
80,Maya Hansen,"Hmm, that's better. Aw, you're seeing things."
81,Tony,This week.
82,Tony Stark,"You almost bought it, didn't you?"
83,Maya Hansen,"This is what I'm talking about, the glitch."
84,Tony Stark,Have you checked the telomerase algorithm?
85,Maya Hansen,The what?
86,Happy Hogan,"Down! Stay down! Stay down, boss."
87,Tony Stark,We're good.
88,Happy Hogan,Stay down.
89,Tony Stark,You're...you're right on me. I made it.  What the hell was that?
90,Happy Hogan,What was that?
91,Maya Hansen,It's a glitch in my work. It's...
92,Tony Stark,She was just talking about it. Glitches happening.
93,Happy Hogan,It's not Y2K.
94,Maya Hansen,No.
95,Tony Stark,Hey!
96,Happy Hogan,Happy New Year.
97,Tony Stark,Happy New Year.
98,Maya Hansen,Happy New Year.
99,Tony Stark,"Alright, I'll see you in the morning, goodnight."
100,Happy Hogan,You good?
101,Tony Stark,Yep.
102,Happy Hogan,I'll be right outside.
103,Tony Stark,Okay.
104,Tony Stark,"So why am I telling you this? Because I had just created demons, and I didn't even know it."
105,Tony Stark,"Yeah, those were the good times. Then I moved on. After a brief soiree in an Afghan cave, I said goodbye to the party scene. Forgot that night in Switzerland. These days I'm a changed man, I'm different now. I'm well... you know who I am."
106,Tony Stark,Ow!
