,Character,Dialog
8,Odin,"Long before the birth of light there was darkness, and from that darkness, came the Dark Elves. Millennia ago, the most ruthless of their kind, Malekith, sought to transform our universe back into one of eternal night."
9,Odin,"Such evil was possible through the power of the Aether, an ancient force of infinite destruction."
10,Odin,"The noble armies of Asgard, led by my father, King Bor, waged a mighty war against these creatures."
11,Kurse,Malekith! Asgard's forces are upon us.
12,Malekith,Send the Kursed.
13,Odin,"As the Nine Worlds converged above him, Malekith could at last unleash the Aether..."
14,Odin,"But Asgard ripped the weapon from his grasp. Without it, the Dark Elves fell. With the battle all but lost, Malekith sacrificed his own people in a desperate attempt to lay waste to Asgard's army."
15,Malekith,Their deaths will mean our survival. This war is far from over.
16,Odin,"Malekith was vanquished, and the Aether was no more. Or so we were led to believe."
17,Asgardian Einherjar,"Sire, the Aether. Shall we destroy it?"
18,Bor,If only we could. But its power is too great. Bury it deep. Somewhere no one will ever find it.
19,Frigga,Loki.
20,Loki,"Hello, mother. Have I made you proud?"
21,Frigga,"Please, don't make this worse."
22,Loki,Define worse.
23,Odin,Enough! I will speak to the prisoner alone.
24,Loki,I really don't see what all the fuss is about.
25,Odin,"Do you not truly feel the gravity of your crimes? Wherever you go there is war, ruin and death."
26,Loki,I went down to Midgard to rule the people of Earth as a benevolent god. Just like you.
27,Odin,"We are not gods. We are born, we live, we die. Just as humans do."
28,Loki,Give or take 5000 years.
29,Odin,All this because Loki desires a throne.
30,Loki,It is my birthright.
31,Odin,Your birthright was to die as a child. Cast out onto a frozen rock. If I had not taken you in you would not be here now to hate me.
32,Loki,"If I am for the axe, then for mercy's sake, just swing it. It's not that I don't love our little talks, it's just ... I don't love them."
33,Odin,Frigga is the only reason you are still alive and you will never see her again. You will spend the rest of your days in the dungeons.
34,Loki,And what of Thor? You'll make that witless oaf king while I rot in chains?
35,Odin,"Thor must strife to undo the damage you have done. He will bring order to the nine realms and then, yes. He will be king."
36,Sif,I've got this completely under control!
37,Thor,Is that why everything is on fire?
38,Sif,You're welcome.  All yours.
39,Thor,Hello.  I accept your surrender.
40,Thor,Anyone else?
41,Fandral,Perhaps next time we should start with the big one.
42,Guard,Keep moving. Come on! Keep moving. Go ahead of me. Don't you turn around!
43,Hogun,Where do we go next?
44,Thor,"Hogun, the peace is nearly won across the Nine Realms. You should stay here. Be with your people, where your heart is. Asgard can wait."
45,Hogun,You have my thanks.
46,Thor,"As you have mine. Heimdall, when you're ready."
47,Odin,Is Vanaheim secure?
48,Thor,As are Nornheim and Ria. Though our work would have gone more quickly with you at the fore.
49,Odin,You must think I'm a piece of bread that needs to be buttered so heavily.
50,Thor,That was not my intent.
51,Odin,"For the first time since the Bifrost was destroyed, the Nine Realms are at peace. They're well reminded of our strength and you have earned their respect and my gratitude."
52,Thor,Thank you.
